Front (English),Back (Hebrew),Transliteration,Other forms,Mnemonic,Example (Hebrew),Example (translit),Example (English),Category,Day
To be,—,— (no present tense),inf. Li-hiot לִהְיוֹת,"Hebrew simply DROPS 'am/is/are'. ""I am tired"" = Ani ayef — literally ""I tired."" Think of li-HIOT as a verb that takes a HIatus in the present.",אֲנִי רוֹצָה לִהְיוֹת רוֹפְאָה.,Ani rotza lihiot rofa.,I want to be a doctor.,Verbs · The engine room,1
To be able to / can,יָכוֹל / יְכוֹלָה,Yachol / Yechola,inf. Li-hiot mesugal לִהְיוֹת מְסֻגָּל,"ya-CHOL = ""Ya, cool!"" — Yes, I can, no problem.",אֲנִי לֹא יְכוֹלָה לָבוֹא מָחָר.,Ani lo yechola lavo machar.,I can't come tomorrow.,Verbs · The engine room,1
To want,רוֹצֶה / רוֹצָה,Rotze / Rotza,inf. Lir-tzot לִרְצוֹת,"roh-TSEH — a waiter leans in: ""Rotze?"" Just ROT-SAY what you want.",מָה אַתְּ רוֹצָה לִשְׁתּוֹת?,Ma at rotza lishtot?,What do you want to drink?,Verbs · The engine room,1
To need,צָרִיךְ / צְרִיכָה,Tzarich / Tzricha,inf. Litz-roch לִצְרוֹךְ,"tsa-REECH — you need to be RICH to afford it. (Tzarich also means ""must"".)",אֲנִי צָרִיךְ מַפְתֵּחַ חָדָשׁ.,Ani tzarich mafteach chadash.,I need a new key.,Verbs · The engine room,1
To do / to make,עוֹשֶׂה / עוֹשָׂה,Ose / Osa,inf. La-a-sot לַעֲשׂוֹת,"OH-seh — ""Oh, say…"" Ma ata ose? (""What are you doing?"") is the most-used question in Israel.",מָה אַתָּה עוֹשֶׂה עַכְשָׁיו?,Ma ata ose achshav?,What are you doing now?,Verbs · The engine room,1
Bear,דֹּב / דֻּבָּה,Dov / Dova,pl. Dubim / Dubot דֻּבִּים / דֻּבּוֹת,DOV — a bear is big enough to eat a DOVE in one bite. (Handy: the two are almost the same sound — dov / yona.),הַדֹּב גָּדוֹל וְחָזָק.,Ha-dov gadol ve-chazak.,The bear is big and strong.,Nouns · Animals,2
Bull,פַּר,Par,pl. Parim פָּרִים,PAR — a bull runs at PAR speed. Note pair: par (bull) / para (cow) — just add the -a for female.,הַפַּר רָץ בַּשָּׂדֶה.,Ha-par ratz ba-sadeh.,The bull runs in the field.,Nouns · Animals,2
Cow,פָּרָה,Para,pl. Parot פָּרוֹת,"pa-RA — the cow says ""pa-RAAA"" instead of moo. The Red Heifer of the Torah is the Para Aduma.",הַפָּרָה נוֹתֶנֶת חָלָב.,Ha-para notenet chalav.,The cow gives milk.,Nouns · Animals,2
Donkey,חֲמוֹר,Chamor,pl. Chamorim חֲמוֹרִים,cha-MOR — the donkey wants CHA-MORE hay. Calling someone a chamor is a classic Israeli insult.,הַחֲמוֹר נוֹשֵׂא מִטְעָן כָּבֵד.,Ha-chamor noseh mit'an kaved.,The donkey carries a heavy load.,Nouns · Animals,2
Monkey,קוֹף,Kof,pl. Kofim קוֹפִים,KOF — a monkey with a COUGH. Also the name of the Hebrew letter ק.,הַקּוֹף אוֹכֵל בַּנָנָה בְּגַן חַיּוֹת.,Ha-kof ochel banana ba-gan chayot.,The monkey eats a banana at the zoo.,Nouns · Animals,2
Big,גָּדוֹל / גְּדוֹלָה,Gadol / Gdola,pl. Gdolim / Gdolot גְּדוֹלִים / גְּדוֹלוֹת,"ga-DOL — Goliath (Golyat) was gadol. Also the root of ligdol, ""to grow"".",יֵשׁ לָהֶם בַּיִת גָּדוֹל עִם גִּנָּה.,Yesh lahem bayit gadol im gina.,They have a big house with a garden.,Adjectives · Dimensions,3
Long,אָרוֹךְ / אֲרוּכָּה,Aroch / Aruka,pl. Aruchim / Aruchot אֲרוּכִים / אֲרוּכוֹת,a-ROCH — think of a long ARCH stretching away. Orech = length.,הַדֶּרֶךְ אֲרֻכָּה אֲבָל יָפָה.,Ha-derech aruka aval yafa.,The road is long but beautiful.,Adjectives · Dimensions,3
Short,קָצָר / קְצָרָה,Katzar / Ktzara,pl. Ktzarim / Ktzarot קְצָרִים / קְצָרוֹת,"ka-TSAR — a short haircut, like a CUT-SIR. From liktzor, to cut short/harvest.",הַסִּפּוּר קָצָר וּמְעַנְיֵן.,Ha-sipur katzar ve-me'anyen.,The story is short and interesting.,Adjectives · Dimensions,3
Tall / high,גָּבוֹהַּ / גְּבוֹהָה,Gavoha / Gvoha,pl. Gvohim / Gvohot גְּבוֹהִים / גְּבוֹהוֹת,ga-VO-ha — say it and your voice goes UP on the -VO-. Gova = height.,הָאָח שֶׁלִּי גָּבוֹהַּ מִמֶּנִּי.,Ha-achi gavoha mimeni.,My brother is taller than me.,Adjectives · Dimensions,3
Low / short (in height),נָמוּךְ / נְמוּכָה,Namuch / Nemucha,pl. Nemuchim / Nemuchot נְמוּכִים / נְמוּכוֹת,"na-MOOCH — ""not MUCH"" of it. The opposite of gavoha, and used for prices and volume too.",הַשֻּׁלְחָן נָמוּךְ מִדַּי.,Ha-shulchan namuch mid'i.,The table is too low.,Adjectives · Dimensions,3
Rabbit,שָׁפָן,Shafan,pl. Shfanim שְׁפָנִים,"sha-FAN — a rabbit is a big FAN of carrots. (Shafan also means ""coward"" in slang.)",הַשָּׁפָן אוֹכֵל גֶּזֶר.,Ha-shafan ochel gezer.,The rabbit eats a carrot.,Nouns · Animals,4
Mouse,עַכְבָּר,Achbar,pl. Achbarim עַכְבָּרִים,ach-BAR — a mouse sneaking into the BAR. Also the word for a computer mouse.,יֵשׁ עַכְבָּר בַּמִּטְבָּח!,Yesh achbar ba-mitbach!,There's a mouse in the kitchen!,Nouns · Animals,4
Snake,נָחָשׁ,Nachash,pl. Nechashim נְחָשִׁים,na-CHASH — hear the hiss in the -CHASH. The serpent in Eden is Ha-Nachash.,הַנָּחָשׁ מְסֻכָּן מְאוֹד.,Ha-nachash mesukan me'od.,The snake is very dangerous.,Nouns · Animals,4
Turtle,צָב,Tsav,pl. Tsavim צַבִּים,"TSAV — short and squat, like the turtle itself. Sounds like ""tsov"" — slow.",הַצָּב הוֹלֵךְ לְאַט מְאוֹד.,Ha-tsav holech le'at me'od.,The turtle walks very slowly.,Nouns · Animals,4
Spider,עַכָּבִישׁ,Akavish,pl. Akavishim עַכָּבִישִׁים,"a-ka-VEESH — ""a-ka-VEESH"" sounds like a web being spun. Kurei akavish = a spider's web.",יֵשׁ עַכָּבִישׁ גָּדוֹל בַּפִּנָּה.,Yesh akavish gadol ba-pina.,There's a big spider in the corner.,Nouns · Animals,4
To go / to walk,הוֹלֵךְ / הוֹלֶכֶת,Holech / Holechet,inf. La-lechet לָלֶכֶת,"ho-LECH — imagine walking and calling ""Hoe! Lech!"" Also: Yalla, lech! = ""Come on, go!""",אֲנִי הוֹלֶכֶת לָעֲבוֹדָה בָּרֶגֶל.,Ani holechet la-avoda ba-regel.,I walk to work on foot.,Verbs · Motion,5
To come,בָּא / בָּאָה,Ba / Ba-a,inf. La-vo לָבוֹא,"BA — a sheep goes ""baa"" as it comes toward you. Two letters, easiest verb in Hebrew.",הָאוֹרְחִים בָּאִים בְּשֵׁשׁ.,Ha-orchim baim be-shesh.,The guests are coming at six.,Verbs · Motion,5
To exit / to go out,יוֹצֵא / יוֹצֵאת,Yotze / Yotzet,inf. Lat-zet לָצֵאת,"yo-TZEH — the EXIT sign at every Israeli mall says יְצִיאָה (yetzia). ""Yo, TSAY goodbye, I'm out.""",אֲנַחְנוּ יוֹצְאִים מֵהַבַּיִת בִּשְׁמוֹנֶה.,Anachnu yotzim mi-ha-bayit be-shmoneh.,We leave the house at eight.,Verbs · Motion,5
To return (somewhere),חוֹזֵר / חוֹזֶרֶת,Chozer / Chozeret,inf. Lach-zor לַחֲזוֹר,"cho-ZER — you return to ZERO, back to the start.",הוּא חוֹזֵר מֵהַטִּיּוּל מָחָר.,Hu chozer me-ha-tiyul machar.,He's coming back from the trip tomorrow.,Verbs · Motion,5
To travel (by vehicle),נוֹסֵעַ / נוֹסַעַת,Nosea / Nosaat,inf. Lin-soa לִנְסוֹעַ,no-SEH-a — you travel by NOSE-ing the car forward. Use this for cars/buses; holech is on foot.,אֲנַחְנוּ נוֹסְעִים לִירוּשָׁלַיִם בְּאוֹטוֹבּוּס.,Anachnu nosim le-Yerushalayim be-otobus.,We're traveling to Jerusalem by bus.,Verbs · Motion,5
Butterfly,פַּרְפַּר,Parpar,pl. Parparim פַּרְפָּרִים,"par-PAR — say it twice like the two flapping wings: par-par, par-par.",הַפַּרְפַּר צִבְעוֹנִי וְיָפֶה.,Ha-parpar tzivoni ve-yafe.,The butterfly is colorful and beautiful.,Nouns · Animals,8
