Root Adjective,Singular,Hebrew,Plural,Hebrew
All,Kol,כֹּל,,
Already,Kvar,כְּבָר,,
A Lot,Harbeh,הַרְבֵּה,,
A LOT A Lot,Hamon,הֲמוֹן,,
Ancient,Atik/Atika,עַתִּיק/עַתִּיקָה,Atikim/Atikot,עַתִּיקִים/עַתִּיקוֹת
Angry,Ko-es/Koeset,כּוֹעֵס/כּוֹעֶסֶת,Ko-asim/Ko-asot,כּוֹעֲסִים/כּוֹעֲסוֹת
Anxious,Chared/Chareda,חָרֵד/חֲרֵדָה,Charedim/Charedot,חֲרֵדִים/חֲרֵדוֹת
Available,Panui/Pnuya,פָּנוּי/פְּנוּיָה,Pnuyim/Pnuyot,פְּנוּיִים/פְּנוּיוֹת
Beautiful,Yafe/Yafa,יָפֶה/יָפָה,Yafim/Yafot,יָפִים/יָפוֹת
Big,Gadol/Gdola,גָּדוֹל/גְּדוֹלָה,Gdolim/Gdolot,גְּדוֹלִים/גְּדוֹלוֹת
Bitter,Mar/Mara,מַר/מָרָה,Marim/Marot,מָרִים/מָרוֹת
Boring,Meshamem/Meshamemet,מְשַׁעֲמֵם/מְשַׁעֲמֶמֶת,Meshamemim/Meshamemot,מְשַׁעֲמְמִים/מְשַׁעֲמְמוֹת
Busy,Asuk/Asuka,עָסוּק/עֲסוּקָה,Asukim/Asukot,עֲסוּקִים/עֲסוּקוֹת
Carbonated,Mugaz/Mugazet,מֻגָּז/מֻגֶּזֶת,Mugazim/Mugazot,מֻגָּזִים/מֻגָּזוֹת
Cheap,Zol/Zola,זוֹל/זוֹלָה,Zolim/Zolot,זוֹלִים/זוֹלוֹת
Clean,Na-ki/Ne-ki-ah,נָקִי/נְקִיָּה,Nekiim/Nekiyot,נְקִיִּים/נְקִיּוֹת
Close/Near,Ka-rov/Krov-ah,קָרוֹב/קְרוֹבָה,Krovim/Krovot,קְרוֹבִים/קְרוֹבוֹת
Cold,Kar/Ka-ra,קַר/קָרָה,Karim/Karot,קָרִים/קָרוֹת
Colorful,Tzivoni'Tzivonit,צִבְעוֹנִי/צִבְעוֹנִית,Tzivoniim/Tzivoniyot,צִבְעוֹנִיִּים/צִבְעוֹנִיּוֹת
Complete/Perfect,Mushlam/Mushlemet,מֻשְׁלָם/מֻשְׁלֶמֶת,Mushlamim/Mushlamot,מֻשְׁלָמִים/מֻשְׁלָמוֹת
Confusing,Mevalbel/Mevalbelet,מְבַלְבֵּל/ מְבַלְבֶּלֶת,Mevalbelim/Mevalbelot,מְבַלְבְּלִים/מְבַלְבְּלוֹת
Crazy,Meshuga/Meshugaat,מְשֻׁגָּע/מְשֻׁגַּעַת,Meshugaim/Meshugaot,מְשֻׁגָּעִים/מְשֻׁגָּעוֹת
Dangerous,Mesukan/Mesukenet,מְסֻכָּן/מְסֻכֶּנֶת,Mesukanim/Mesukanot,מְסֻכָּנִים/מְסֻכָּנוֹת
Depressed,Dikaoni/Dikaonit,דִּכָּאוֹנִי/דִּכָּאוֹנִית,Dikaoniim/Dikaoniyot,דִּכָּאוֹנִיִּים/דִּכָּאוֹנִיּוֹת
Different,Shoneh/Shona,שׁוֹנֶה/שׁוֹנָה,Shonim/Shonot,שׁוֹנִים/שׁוֹנוֹת
Difficult,Kash/Kasha,קָשֶׁה/קָשָׁה,Kashim/Kashot,קָשִׁים/קָשׁוֹת
Dirty,Meluchlach/Meluchlechet,מְלוּכְלָךְ/מְלוּכְלֶכֶת,Meluchlachim/Meluchlachot,מְלוּכְלָכִים/מְלוּכְלָכוֹת
Disapointed,Meuchzav/Meuchzevet,מְאֻכְזָב/מְאֻכְזֶבֶת,Meuchzavim/Meuchzavot,מְאֻכְזָבִים/מְאֻכְזָבוֹת
Dry,Yavesh/Yevesha,יָבֵשׁ/יְבֵשָׁה,Yaveshim/Yaveshot,יְבֵשִׁים/יְבֵשׁוֹת
