Root Noun,Singular,Hebrew,Plural,Hebrew
Address,Ketovet,כְּתֹבֶת,Ketovot,כְּתֹבוֹת
Airport,Nmal te-ufa,נְמַל תְּעוּפָה,Nmaley te-ufa,נִמְלֵי תְּעוּפָה
Alcoholic Beverage,Mashke charifi,מַשְׁקֶה חָרִיפִי,Mashkaot Charifi,מַשְׁקָאוֹת חֲרִיפִים
Answer,Tshuva,תְּשׁוּבָה,Tshuvot,תְּשׁוּבוֹת
Apartment,Di-ra,דִּירָה,Dirot,דִּירוֹת
Architect,Adrichal/Adrichalit,אַדְרִיכָל/אַדְרִיכָלִית,Adrichalim/Adrichaliot,אַדְרִיכָלִים/אַדְרִיכָלִיּוֹת
Artist,Oman/Omanit,אָמָּן/אָמָּנִית,Omanim/Omaniot,אָמָּנִים/אָמָּנִיּוֹת
Baby,Tinok/Tinoket,תִּינוֹק/תִּינוֹקֶת,Tinokim/Tinokot,תִּינוֹקִים/תִּינוֹקוֹת
Back ,Gav,גַּב,Gavim,גַּבִּים
Backpack,Yalkut,יַלְקוּט,Yalkutim,יַלְקוּטִים
Ball,Kadur,כַּדּוּר,Kadurim,כַּדּוּרִים
Bear,Dov/Dov-a,דֹּב/דֻּבָּה,Dubim/Dubot,דֻּבִּים/דֻּבּוֹת
Bed ,Mi-ta,מִטָּה,Mitot,מִטּוֹת
Bedroom,Chadar sheina,חֶדֶר שֵׁנָה,Chadarei sheina,חַדְרֵי שֵׁנָה
Beef,Ba-kar,בָּקָר,,
Beginning,Hat-chala,הַתְחָלָה,Hatchalot,הַתְחָלוֹת
Belt,Chagora,חֲגוֹרָה,Chagorot,חֲגוֹרוֹת
Beverage/Drink,Mash-ke,מַשְׁקֶה,Mashkaot,מַשְׁקָאוֹת
Boot,Magaf,מַגָּף,Magafaim,מַגָּפַיִם
Bracelet,Tzamid,צָמִיד,Tzmidim,צְמִידִים
Brain,Moach,מוֹחַ,Mochot,מוֹחוֹת
Break,Hav-sa-ka,הַפְסָקָה,Havsakot,הַפְסָקוֹת
Brother,Ach,אָח,Achim,אַחִים
Brother-in-law,Gis,גִּיס,Gisim,גִּיסִים
Blueberry,Uch-man-iya,אֻכְמָנִיָּה,Uch-man-iot,אֻכְמָנִיּוֹת
Board/Calendar,Luach,לוּחַ,Luchot,לוּחוֹת
Body,Guf,גּוּף,Gufim,גּוּפִים
Book,Sefer,סֵפֶר,Sfarim,סְפָרִים
Booklet/Pamphlet,Choveret,חוֹבֶרֶת,Chov-rot,חוֹבְרוֹת
Bone,Eztem,עֶצֶם,Atzamot,עֲצָמוֹת
Bowl,Ke-a-ra,קְעָרָה,Kearot,קְעָרוֹת
Building,Binyan,בִּנְיָן,Binyanim,בִּנְיָנִים
Bull,Par,פַּר,Parim,פָּרִים
Butter,Chem-ah,חֶמְאָה,,
Butterfly,Par-pa,פַּרְפַּר,Parparim,פַּרְפָּרִים
Cancer/Crab,Sar-tan,סַרְטָן,Sartanim,סַרְטָנִים
Carrot,Gezer,גֶּזֶר,Gzarim,גְּזָרִים
Cauliflower,Cruv,כְּרוּב,Cruvim,כְּרוּבִים
Chalk,Gir,גִּיר,Girim,גִּירִים
Cherry,Duv-devan,דּוּבְדְבָן,Duvdevantim,דּוּבְדְבָנִים
Chest,Cha-ze,חָזֶה,Chazot,חָזוֹת
Chick,Goz-al,גּוֹזָל,Gozalim,גּוֹזָלִים
Chicken (food),Of,עוֹף,Ofot,עוֹפוֹת
Chicken (animal),Tarne-gol/Tarne-golet,תַּרְנְגוֹל/תַּרְנְגוֹלֶת,Tarnegolim/Tarnegolot,תַּרְנְגוֹלִים/תַּרְנְגוֹלוֹת
City,Ir,עִיר,Arim,עָרִים
Clothing,Beged,בֶּגֶד,Begadim,בְּגָדִים
Closet,Aron,אָרוֹן,Aronot,אֲרוֹנוֹת
Coat,Me-il,מְעִיל,Me-ilim,מְעִילִים
Confusion/Chaos,Bilbul,בִּלְבּוּל,Bilbulim,בִּלְבּוּלִים
Color,Tzeva,צֶבַע,Tzvayim,צְבָעִים
Cook ,Tabach,טַבָּח,Tabachim,טַבָּחִים
Country,Eretz,אֶרֶץ,Aratzot,אֲרָצוֹת
Costume,Tach-poset,תַּחְפֹּשֶׂת,Tach-posot,תַּחְפֹּשׂוֹת
Cow,Pa-ra,פָּרָה,Parot,פָּרוֹת
Cup,Kos,כּוֹס,Kosot,כּוֹסוֹת
Curtain,Vilon,וִילוֹן,Vilonot,וִילוֹנוֹת
Daughter-in-law,Kala,כַּלָּה,Kalot,כַּלּוֹת
Dentist,Rofe/rofat shinayim ,רוֹפֵא/רוֹפְאַת שִׁנַּיִם,Rofei/Rofot shinayim,רוֹפְאֵי/רוֹפְאוֹת שִׁנַּיִם
Dessert,Kinuach,קִנּוּחַ,,
Difference,Hevedel,הֶבְדֵּל,Hevedelim,הֶבְדֵּלִים
Dining Room,Chadar ochel,חֶדֶר אוֹכֶל,Chadrei ochel,חַדְרֵי אוֹכֶל
Director,Bamai/Bama-it,בַּמַּאי/בַּמָּאִית,Bamaim/Bama-iyot,בַּמָּאִים/בַּמָּאִיּוֹת
Doctor,Rofe/Rofa,רוֹפֵא/רוֹפְאָה,Rofim/Rofot,רוֹפְאִים/רוֹפְאוֹת
