English,Hebrew
Able to,"Ichol_ (a, im, ot)"
After,Ach-a-rei/Achrei
Already,Kvar
Although/Despite,Lamrot
Because (for because of..),Biglal
Before,Lifnei
"Between (me, him/her, us)",BiN__
Even,Afilu
Except for,Chutz Mimen
If,Im
Most,Hachat
My place,Atzli
Nevermind/Doesn't Matter,Lo Meshane
Only,Rak
Opposite of/In front of,Mul__
Outside,Bachutz
Rather,Ela 
Still/Yet,Adayin
Then,Az
Therefore,Lachen
These,Ele
Times (how many times),Pam/peamim
Tomorrow,Machar
Two (when adjective),Shnei/Shtei
Underneath,Mitchat 
Was,Hai-ah
When (question),Matai
When (answer),"Kashe..(ani, at, etc.)"
When I,Ksheani 
When there is/when I have,Csayesh
Which,Ei-ze
While I/at the same time/in the time,Bizman
Yesterday,Etmol
