English,Root (to verb),Hebrew,Present Singular,Hebrew,Present Plural,Hebrew,,Past,,,,,,,,,,,,,,,,,,,
,,,"Ani, Ata/Hoo | At/Hee",,"Atem/Hem, Aten/Hen | Anachnu",,,Ani,Hebrew,Ata,Hebrew,At,Hebrew,Atem,Hebrew,Aten,Hebrew,Hem,Hebrew,Hen,Hebrew,Hoo,Hebrew,Hee,Hebrew,Anachnu,Hebrew
Agree,Le-haskim,לְהַסְכִּים,Maskim/Maskima,מַסְכִּים/מַסְכִּימָה,Maskimim/Maskimot,מַסְכִּימִים/מַסְכִּימוֹת,Agree,Hiskamti,הִסְכַּמְתִּי,Hiskamta,הִסְכַּמְתָּ,Hiskamt,הִסְכַּמְתְּ,Hiskamtem,הִסְכַּמְתֶּם,Hiskamten,הִסְכַּמְתֶּן,Hiskimu,הִסְכִּימוּ,Hiskimu,הִסְכִּימוּ,Hiskim,הִסְכִּים,Hiskima,הִסְכִּימָה,Hiskamnu,הִסְכַּמְנוּ
Answer,La-anot,לַעֲנוֹת,One/Ona,עוֹנֶה/עוֹנָה,Onim/Onot,עוֹנִים/עוֹנוֹת,Answer,Aniti,עָנִיתִי,Anita,עָנִיתָ,Anit,עָנִית,Anitem,עֲנִיתֶם,Aniten,עֲנִיתֶן,Anu,עָנוּ,Anu,עָנוּ,Ana,עָנָה,Aneta,עָנְתָה,Aninu,עָנִינוּ
Arrange,Le-sader,לְסַדֵּר,Mesader/Mesaderet,מְסַדֵּר/מְסַדֶּרֶת,Mesadrim/Mesadrot,מְסַדְּרִים/מְסַדְּרוֹת,Arrange,Sidarti,סִדַּרְתִּי,Sidarta,סִדַּרְתָּ,Sidart,סִדַּרְתְּ,Sidartem,סִדַּרְתֶּם,Sidarten,סִדַּרְתֶּן,Sidru,סִדְּרוּ,Sidru,סִדְּרוּ,Sider,סִדֵּר,Sidra,סִדְּרָה,Sidarnu,סִדַּרְנוּ
Ask (pt. 1),Li-shol,לִשְׁאֹל,Shoel/Shoelet,שׁוֹאֵל/שׁוֹאֶלֶת,Shoalim/Shoalot,שׁוֹאֲלִים/שׁוֹאֲלוֹת,Ask (pt. 1),Shalti,שָׁאַלְתִּי,Shalta,שָׁאַלְתָּ,Shalt,שָׁאַלְתְּ,Shaltem,שְׁאַלְתֶּם,Shalten,שְׁאַלְתֶּן,Shalu,שָׁאֲלוּ,Shalu,שָׁאֲלוּ,Shaal,שָׁאַל,Shaala,שָׁאֲלָה,Shaalnu,שָׁאַלְנוּ
Ask/Request (pt. 2),Levakesh,לְבַקֵּשׁ,Mevakesh/Mevakeshet,מְבַקֵּשׁ/מְבַקֶּשֶׁת,Mevakshim/Mevakshot,מְבַקְּשִׁים/מְבַקְּשׁוֹת,Ask/Request (pt. 2),Bikashti,בִּקַּשְׁתִּי,Bikashta,בִּקַּשְׁתָּ,Bikasht,בִּקַּשְׁתְּ,Bikashtem,בִּקַּשְׁתֶּם,Bikashten,בִּקַּשְׁתֶּן,Bikshu,בִּקְּשׁוּ,Bikshu,בִּקְּשׁוּ,Bikesh,בִּקֵּשׁ,Biksha,בִּקְּשָׁה,Bikasנו,בִּקַּשְׁנוּ
Bake,Le-e-fot,לֶאֱפוֹת,Ofe/Ofa,אוֹפֶה/אוֹפָה,Ofim/Ofot,אוֹפִים/אוֹפוֹת,Bake,Afiti,אָפִיתִי,Afita,אָפִיתָ,Afit,אָפִית,Afitem,אֲפִיתֶם,Afiten,אֲפִיתֶן,Afו,אָפוּ,Afu,אָפוּ,Afa,אָפָה,Afta,אָפְתָה,Afinu,אָפִינוּ
Bark,Lin-boach,לִנְבּוֹחַ,Noveach/Novachat,נוֹבֵחַ/נוֹבַחַת,Novchim/Novchot,נוֹבְחִים/נוֹבְחוֹת,Bark,Navachti,נָבַחְתִּי,Navachta,נָבַחְתָּ,Navacht,נָבַחְתְּ,Navachtem,נְבַחְתֶּם,Navachten,נְבַחְתֶּן,Navchu,נָבְחוּ,Navchu,נָבְחוּ,Navach,נָבַח,Navcha,נָבְחָה,Navachnu,נָבַחְנוּ
Be,Li-hiot,לִהְיוֹת,,,,,Be,Hayiti,הָיִיתִי,Hayita,הָיִיתָ,Hayit,הָיִית,Hayitem,הֱיִיתֶם,Hayiten,הֱיִיתֶן,Hayu,הָיוּ,Hayu,הָיוּ,Haya,הָיָה,Hayta,הָיְתָה,Hayinu,הָיִינוּ
Be Able To,Li-hyot mesugal,לִהְיוֹת מְסֻגָּל,Yachol/Yeholah,יָכוֹל/יְכוֹלָה,Yecholim/Yecholot,יְכוֹלִים/יְכוֹלוֹת,Be Able To,Hayiti mesugal,הָיִיתִי מְסֻגָּל,Hayita mesugal,הָיִיתָ מְסֻגָּל,Hayit mesugelet,הָיִית מְסֻגֶּלֶת,Hayitem mesugalim,הֱיִיתֶם מְסֻגָּלִים,Hayiten mesugalot,הֱיִיתֶן מְסֻגָּלוֹת,Hayu mesugalim,הָיוּ מְסֻגָּלִים,Hayu mesugalot,הָיוּ מְסֻגָּלוֹת,Haya mesugal,הָיָה מְסֻגָּל,Hayta mesugelet,הָיְתָה מְסֻגֶּלֶת,Hayinu mesugalim,הָיִינוּ מְסֻגָּלִים
Become,La-afoch,לַהֲפוֹךְ,Hofech/Hofechet,הוֹפֵךְ/הוֹפֶכֶת,Hofchim/Hofchot,הוֹפְכִים/הוֹפְכוֹת,Become,Hafachti,הָפַכְתִּי,Hafachta,הָפַכְתָּ,Hafacht,הָפַכְתְּ,Hafachtem,הֲפַכְתֶּם,Hafachten,הֲפַכְתֶּן,Hafchu,הָפְכוּ,Hafchu,הָפְכוּ,Hafach,הָפַךְ,Hafcha,הָפְכָה,Hafachnu,הָפַכְנוּ
Begin,Le-hatchil,לְהַתְחִיל,Matchil/Matchila,מַתְחִיל/מַתְחִילָה,Matchilim/Matchilot,מַתְחִילִים/מַתְחִילוֹת,Begin,Hitchalti,הִתְחַלְתִּי,Hitchalta,הִתְחַלְתָּ,Hitchalt,הִתְחַלְתְּ,Hitchaltem,הִתְחַלְתֶּם,Hitchalten,הִתְחַלְתֶּן,Hitchilu,הִתְחִילוּ,Hitchilu,הִתְחִילוּ,Hitchil,הִתְחִיל,Hitchila,הִתְחִילָה,Hitchalnu,הִתְחַלְנוּ
Believe,Le-haamin,לְהַאֲמִין,Maamin/Maamina,מַאֲמִין/מַאֲמִינָה,Maaminim/Maaminot,מַאֲמִינִים/מַאֲמִינוֹת,Believe,He'emanti,הֶאֱמַנְתִּי,He'emanta,הֶאֱמַנְתָּ,He'emant,הֶאֱמַנְתְּ,He'emantem,הֶאֱמַנְתֶּם,He'emanten,הֶאֱמַנְתֶּן,He'eminu,הֶאֱמִינוּ,He'eminu,הֶאֱמִינוּ,He'emin,הֶאֱמִין,He'emina,הֶאֱמִינָה,He'emannu,הֶאֱמַנּוּ
Bloom/Blossom,Lif-roach,לִפְרֹחַ,Poreach/Poreachat,פּוֹרֵחַ/פּוֹרַחַת,Porchim/Porchot,פּוֹרְחִים/פּוֹרְחוֹת,Bloom/Blossom,Parachti,פָּרַחְתִּי,Parachta,פָּרַחְתָּ,Paracht,פָּרַחְתְּ,Parachtem,פְּרַחְתֶּם,Parachten,פְּרַחְתֶּן,Parchu,פָּרְחוּ,Parchu,פָּרְחוּ,Parach,פָּרַח,Parcha,פָּרְחָה,Parachnu,פָּרַחְנוּ
Break,Lish-bor,לִשְׁבּוֹר,Shover/Shoveret,שׁוֹבֵר/שׁוֹבֶרֶת,Shovrim/Shovrot,שׁוֹבְרִים/שׁוֹבְרוֹת,Break,Shavarti,שָׁבַרְתִּי,Shavarta,שָׁבַרְתָּ,Shavart,שָׁבַרְתְּ,Shavartem,שְׁבַרְתֶּם,Shavarten,שְׁבַרְתֶּן,Shavru,שָׁבְרוּ,Shavru,שָׁבְרוּ,Shavar,שָׁבַר,Shavra,שָׁבְרָה,Shavarnu,שָׁבַרְנוּ
Bring,Le-havi,לְהָבִיא,Mevi/Mevia,מֵבִיא/מֵבִיאָה,Mevi'im/Mevi'ot,מְבִיאִים/מְבִיאוֹת,Bring,Heveti,הֵבֵאתִי,Heveta,הֵבֵאתָ,Hevet,הֵבֵאת,Hevetem,הֲבֵאתֶם,Heveten,הֲבֵאתֶן,Hevi'u,הֵבִיאוּ,Hevi'u,הֵבִיאוּ,Hevi,הֵבִיא,Hevia,הֵבִיאָה,Hevenu,הֵבֵאנוּ
Build,Liv-not,לִבְנוֹת,Bone/Bona,בּוֹנֶה/בּוֹנָה,Bonim/Bonot,בּוֹנִים/בּוֹנוֹת,Build,Baniti,בָּנִיתִי,Banita,בָּנִיתָ,Banit,בָּנִית,Banitem,בְּנִיתֶם,Baniten,בְּנִיתֶן,Banu,בָּנוּ,Banu,בָּנוּ,Bana,בָּנָה,Banta,בָּנְתָה,Baninu,בָּנִינוּ
Buy,Lik-not,לִקְנוֹת,Kone/Kona,קוֹנֶה/קוֹנָה,Konim/Konot,קוֹנִים/קוֹנוֹת,Buy,Kaniti,קָנִיתִי,Kanita,קָנִיתָ,Kanit,קָנִית,Kanitem,קְנִיתֶם,Kaniten,קְנִיתֶן,Kanu,קָנוּ,Kanu,קָנוּ,Kana,קָנָה,Kanta,קָנְתָה,Kaninu,קָנִינוּ
Calculate,Le-chashev,לְחַשֵּׁב,Mechashev/Mechashevet,מְחַשֵּׁב/מְחַשֶּׁבֶת,Mechashvim/Mechashvot,מְחַשְּׁבִים/מְחַשְּׁבוֹת,Calculate,Chishavti,חִשַּׁבְתִּי,Chashavta,חִשַּׁבְתָּ,Chashavt,חִשַּׁבְתְּ,Chashavtem,חִשַּׁבְתֶּם,Chashavten,חִשַּׁבְתֶּן,Chishvu,חִשְּׁבוּ,Chishvu,חִשְּׁבוּ,Chishev,חִשֵּׁב,Chishva,חִשְּׁבָה,Chishavnu,חִשַּׁבְנוּ
Catch,Lit-pos,לתפוס,Tofes/Tofeset,תּוֹפֵשׂ/תּוֹפֶשֶׂת,Tofsim/Tofsot,תּוֹפְשִׂים/תּוֹפְשׂוֹת,Catch,Tafasti,תָּפַסְתִּי,Tafasta,תָּפַסְתָּ,Tafast,תָּפַסְתְּ,Tefastem,תְּפַסְתֶּם,Tefasten,תְּפַסְתֶּן,Tafsu,תָּפְסוּ,Tafsu,תָּפְסוּ,Tafas,תָּפַס,Tafsa,תָּפְסָה,Tafasnu,תָּפַסְנוּ
